Name,David,Jobo,Jason,Alice,Qihan,Yuhan,Chloe,Seika,Amy,John
Aether,1,1,2,1,3,2,5,2,2,3
Albedo,1,1,2,2,3,4,4,3,4,2
Amber,4,1,2,3,3,3,2,2,5,2
Ayaka,3,3,1,1,4,4,2,4,1,1
Barbara,3,2,1,2,3,3,2,4,3,2
Beidou,3,5,3,4,3,4,4,3,3,1
Bennett,3,1,1,2,2,1,3,3,1,4
Chongyun,1,1,1,3,1,2,3,3,2,4
Diluc,1,3,3,2,1,1,4,4,4,5
Diona,4,1,1,2,1,3,1,1,4,3
Fischl,3,2,1,4,4,2,1,2,4,3
Ganyu,5,2,2,3,2,5,2,5,4,2
Hu Tao,4,4,3,4,5,4,2,1,3,1
Jean,2,1,4,2,3,3,5,5,4,3
Kaeya,4,4,2,4,2,1,4,4,2,3
Keqing,2,1,2,2,5,5,2,3,4,1
Klee,2,2,2,2,3,5,3,4,1,4
Lisa,1,2,1,2,3,2,1,3,5,2
Lumine,2,1,1,2,5,4,2,5,2,3
Mona,2,3,3,3,4,2,2,2,4,3
Ningguang,4,4,4,4,5,3,1,4,3,2
Noelle,3,3,2,2,4,3,1,4,1,1
Qiqi,4,2,1,4,3,5,3,4,5,4
Razor,4,1,1,3,2,2,3,2,1,4
Rosaria,2,3,2,1,2,1,1,1,1,3
Sucrose,3,3,1,2,4,4,2,3,2,1
Tartaglia,3,2,4,3,1,2,5,1,4,5
Venti,3,2,1,4,2,1,4,4,1,4
Xiangling,5,2,1,3,2,2,3,2,3,3
Xiao,1,2,3,2,4,3,4,4,5,3
Xingqiu,2,1,1,3,3,4,3,2,2,1
Xinyan,2,4,1,1,3,1,1,1,1,1
Zhongli,5,3,5,5,4,4,5,5,5,2
